Kanton;Wahljahr;Total;FDP;CVP;SP;SVP;LPS;LdU;EVP;CSP;GLP;BDP;GPS;DSP;PdA;PSA;POCH;FGA;Sol.;SD;Rep.;EDU;FPS;Lega;MCR;LS;weitere;kleine Linksparteien;kleine Rechtsparteien
Graubünden;2014;120;33;31;15;9;NA;0;NA;0;2;28;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Graubünden;2018;120;36;30;18;9;NA;0;NA;0;3;23;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Jura;1978;60;14;21;11;1;NA;NA;NA;8;NA;NA;0;NA;2;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;3;2;0
Jura;1982;60;16;20;11;1;NA;NA;NA;8;NA;NA;0;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0
Jura;1986;60;16;22;11;1;NA;NA;NA;8;NA;NA;0;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0
Jura;1990;60;15;21;12;1;NA;NA;NA;8;NA;NA;0;NA;0;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0
Jura;1994;60;15;22;12;1;NA;NA;NA;8;NA;NA;0;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0
Jura;1998;60;14;19;15;1;NA;NA;NA;8;NA;NA;0;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0
Jura;2002;60;12;20;15;2;NA;NA;NA;8;NA;NA;0;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0
Jura;2006;60;11;19;13;3;NA;NA;NA;9;NA;NA;2;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0
Jura;2010;60;8;19;14;4;NA;NA;NA;8;NA;NA;4;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0
Jura;2015;60;9;17;12;8;NA;NA;NA;8;NA;NA;4;NA;2;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0
Luzern;1971;170;55;85;11;0;NA;12;NA;3;0;NA;0;NA;NA;NA;0;0;NA;4;NA;NA;NA;NA;NA;NA;0;0;4
Luzern;1975;170;56;88;13;0;NA;8;NA;2;0;NA;0;NA;NA;NA;1;0;NA;2;NA;NA;NA;NA;NA;NA;0;1;2
Luzern;1979;170;58;88;13;0;NA;3;NA;3;0;NA;0;NA;NA;NA;5;0;NA;0;NA;NA;NA;NA;NA;NA;0;5;0
Luzern;1983;170;56;87;12;0;NA;2;NA;2;0;NA;0;NA;NA;NA;10;1;NA;0;NA;NA;NA;NA;NA;NA;0;11;0
Luzern;1987;170;56;85;11;0;NA;0;NA;1;0;NA;0;NA;NA;NA;0;17;NA;0;NA;NA;NA;NA;NA;NA;0;17;0
Luzern;1991;170;57;82;16;0;NA;0;NA;1;0;NA;13;NA;NA;NA;0;1;NA;0;NA;NA;NA;NA;NA;NA;0;1;0
Luzern;1995;170;51;77;18;11;NA;0;NA;1;0;NA;11;NA;NA;NA;0;1;NA;0;NA;NA;NA;NA;NA;NA;0;1;0
Luzern;1999;120;31;48;12;22;NA;0;NA;0;0;NA;7;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;0;0;0
